nama_alat_tangkap,jumlah_hari_operasi,gt_kapal,berat_ikan (kg)
Cantrang,1,15,6
Cantrang,1,19,6
Dogol,1,14,4
Cantrang,2,18,9
Cantrang,1,19,4
Cantrang,1,15,6
Dogol,1,14,5
Cantrang,1,15,4
Cantrang,1,15,8
Cantrang,2,18,9
Cantrang,2,15,6
Cantrang,1,15,5
Cantrang,1,20,9
Bagan berperahu atau bagan apung,1,18,4
Cantrang,1,20,4
Cantrang,1,15,4
Cantrang,2,18,7
Bagan berperahu atau bagan apung,2,17,18
Cantrang,1,15,6
Cantrang,1,19,4
Dogol,1,14,5
Cantrang,1,20,5
Bagan berperahu atau bagan apung,1,18,6
Bagan berperahu atau bagan apung,2,14,16
Cantrang,1,11,4
Bagan berperahu atau bagan apung,1,18,7
Cantrang,1,19,4
Cantrang,1,15,5
Cantrang,1,18,9
Dogol,1,14,6
Cantrang,1,20,6
Dogol,1,14,4
Cantrang,1,19,5
Cantrang,1,11,13
Bagan berperahu atau bagan apung,2,10,13
Cantrang,1,15,3
Cantrang,1,20,7
Dogol,1,14,9
Cantrang,1,20,7
Cantrang,1,15,4
Dogol,1,14,30
Bagan berperahu atau bagan apung,1,18,25
Cantrang,1,19,10
Cantrang,1,15,26
Cantrang,1,20,24
Bagan berperahu atau bagan apung,1,12,12
Cantrang,1,19,7
Dogol,1,14,5
Cantrang,1,15,6
Bagan berperahu atau bagan apung,2,10,9
Dogol,1,14,4
Cantrang,1,20,6
Cantrang,3,18,7
Cantrang,1,19,4
Dogol,1,14,5
Cantrang,1,15,5
Cantrang,1,18,4
Dogol,1,14,3
Cantrang,1,19,5
Cantrang,1,11,5
Bagan berperahu atau bagan apung,1,18,3
Cantrang,1,19,9
Cantrang,1,15,5
Cantrang,1,19,3
Cantrang,2,18,13
Dogol,1,14,3
Bagan berperahu atau bagan apung,1,18,4
Cantrang,1,20,5
Cantrang,1,20,7
Dogol,1,14,4
Bagan berperahu atau bagan apung,1,18,3
Bagan berperahu atau bagan apung,1,18,5
Cantrang,1,20,6
Cantrang,1,15,6
Bagan berperahu atau bagan apung,2,17,19
Bagan berperahu atau bagan apung,2,10,12
Cantrang,1,15,4
Cantrang,1,20,7
Cantrang,2,18,9
Cantrang,1,20,5
Bagan berperahu atau bagan apung,1,18,3
Bagan berperahu atau bagan apung,2,14,22
Cantrang,1,11,3
Dogol,1,14,4
Bagan berperahu atau bagan apung,1,18,7
Cantrang,1,20,8
Cantrang,1,11,6
Cantrang,1,20,20
Cantrang,1,15,18
Bagan berperahu atau bagan apung,1,18,28
Dogol,1,14,38
Bagan berperahu atau bagan apung,1,15,45
Bagan berperahu atau bagan apung,1,10,29
Bagan berperahu atau bagan apung,1,13,24
Cantrang,1,11,3
Dogol,1,14,5
Cantrang,1,20,4
Bagan berperahu atau bagan apung,1,18,4
Dogol,1,14,5
Cantrang,1,18,9
Cantrang,1,20,3
Bagan berperahu atau bagan apung,1,18,7
Bagan berperahu atau bagan apung,1,13,37
Cantrang,1,15,7
Bagan berperahu atau bagan apung,1,18,8
Dogol,1,14,6
Cantrang,1,15,7
Cantrang,1,20,4
Bagan berperahu atau bagan apung,1,18,4
Cantrang,1,20,7
Cantrang,1,15,4
Dogol,1,14,7
Bagan berperahu atau bagan apung,2,6,13
Bagan berperahu atau bagan apung,2,14,34
Cantrang,1,18,5
Cantrang,1,20,7
Cantrang,1,19,5
Cantrang,1,20,3
Cantrang,2,18,10
Cantrang,2,15,10
Bagan berperahu atau bagan apung,1,18,8
Cantrang,1,18,6
Cantrang,1,20,5
Bagan berperahu atau bagan apung,1,18,6
Cantrang,1,19,6
Cantrang,2,18,10
Cantrang,1,20,4
Cantrang,1,15,3
Cantrang,1,15,4
Cantrang,1,19,4
Cantrang,2,18,11
Cantrang,2,11,9
Bagan berperahu atau bagan apung,1,18,9
Cantrang,1,15,7
Bagan berperahu atau bagan apung,1,18,4
Cantrang,1,15,7
Cantrang,1,18,9
Bagan berperahu atau bagan apung,1,18,4
Bagan berperahu atau bagan apung,1,18,4
Bagan berperahu atau bagan apung,3,6,314
Cantrang,1,15,4
Bagan berperahu atau bagan apung,3,17,29
Bagan berperahu atau bagan apung,3,14,27
Cantrang,1,18,6
Bagan berperahu atau bagan apung,1,18,8
Cantrang,1,15,5
Cantrang,1,15,4
Bagan berperahu atau bagan apung,1,11,39
Cantrang,2,18,7
Cantrang,1,19,5
Cantrang,1,19,4
Cantrang,1,15,16
Cantrang,1,11,4
Cantrang,1,15,7
Bagan berperahu atau bagan apung,1,18,4
Cantrang,2,18,9
Bagan berperahu atau bagan apung,2,6,74
Cantrang,1,15,6
Cantrang,1,19,5
Bagan berperahu atau bagan apung,1,18,5
Cantrang,1,11,11
Bagan berperahu atau bagan apung,2,14,64
Bagan berperahu atau bagan apung,5,6,250
Bagan berperahu atau bagan apung,3,11,24
Bagan berperahu atau bagan apung,4,17,17
Bagan berperahu atau bagan apung,5,6,200
Bagan berperahu atau bagan apung,5,6,85
Bagan berperahu atau bagan apung,5,6,37
Cantrang,1,18,9
Bagan berperahu atau bagan apung,1,13,26
Bagan berperahu atau bagan apung,1,23,24
Cantrang,1,18,9
Cantrang,1,20,10
Cantrang,1,20,5
Cantrang,1,19,9
Cantrang,1,15,7
Cantrang,1,19,6
Cantrang,1,20,5
Cantrang,1,20,6
Cantrang,1,15,4
Cantrang,1,11,4
Cantrang,1,19,4
Cantrang,1,20,5
Dogol,1,14,2
Dogol,1,14,9
Cantrang,1,20,5
Cantrang,1,15,5
Cantrang,1,18,6
Cantrang,1,20,3
Dogol,3,5,8
Cantrang,1,20,2
Cantrang,1,19,5
Dogol,1,14,5
Cantrang,1,18,5
Cantrang,1,18,3
Cantrang,1,15,5
Dogol,1,5,4
Bagan berperahu atau bagan apung,1,18,3
Dogol,1,14,6
Cantrang,1,19,5
Dogol,1,5,3
Cantrang,1,15,3
Cantrang,1,18,9
Cantrang,1,19,5
Cantrang,1,15,5
Bagan berperahu atau bagan apung,1,18,4
Cantrang,1,15,9
Bagan berperahu atau bagan apung,1,18,4
Cantrang,1,19,11
Bagan berperahu atau bagan apung,1,18,4
Cantrang,1,15,6
Cantrang,1,20,4
Dogol,1,5,4
Cantrang,1,19,6
Cantrang,1,19,9
Dogol,1,5,5
Bagan berperahu atau bagan apung,1,18,9
Dogol,1,5,7
Cantrang,1,20,4
Bagan berperahu atau bagan apung,1,18,3
Cantrang,1,19,9
Dogol,1,14,5
Cantrang,1,20,5
Cantrang,1,15,4
Bagan berperahu atau bagan apung,1,18,4
Dogol,1,5,6
Dogol,1,5,4
Cantrang,1,15,4
Cantrang,1,11,6
Cantrang,1,15,5
Cantrang,1,19,9
Cantrang,1,20,3
Bagan berperahu atau bagan apung,1,18,3
Cantrang,1,19,9
Dogol,1,14,9
Cantrang,1,11,6
Cantrang,1,20,4
Cantrang,1,15,7
Dogol,1,14,3
Dogol,1,5,7
Dogol,1,5,18
