Stock,yr,ct,bt
Katsuwonus_pelamis_711,2011,6000,NA
Katsuwonus_pelamis_711,2012,1612000,NA
Katsuwonus_pelamis_711,2013,217000,NA
Katsuwonus_pelamis_711,2014,147000,NA
Katsuwonus_pelamis_711,2015,5392000,NA
Katsuwonus_pelamis_711,2016,1456000,NA
Katsuwonus_pelamis_711,2017,11690581,NA
Katsuwonus_pelamis_711,2018,2151889,NA
Katsuwonus_pelamis_711,2019,846011,NA
Katsuwonus_pelamis_711,2020,124527,NA
Katsuwonus_pelamis_711,2021,218648,NA
Katsuwonus_pelamis_711,2022,213650,NA
Cucut_Botol_711,2005,1623000,NA
Cucut_Botol_711,2006,1255000,NA
Cucut_Botol_711,2007,827000,NA
Cucut_Botol_711,2008,1169000,NA
Cucut_Botol_711,2009,974000,NA
Cucut_Botol_711,2010,491000,NA
Cucut_Botol_711,2011,569000,NA
Cucut_Botol_711,2012,919000,NA
Cucut_Botol_711,2013,922000,NA
Cucut_Botol_711,2014,121000,NA
Cucut_Botol_711,2015,172000,NA
Cucut_Botol_711,2016,52000,NA
Cucut_Botol_711,2017,2885,NA
Cucut_Lanyam_711,2005,3115000,NA
Cucut_Lanyam_711,2006,5809000,NA
Cucut_Lanyam_711,2007,3264000,NA
Cucut_Lanyam_711,2008,5704000,NA
Cucut_Lanyam_711,2009,6753000,NA
Cucut_Lanyam_711,2010,4269957,NA
Cucut_Lanyam_711,2011,3839000,NA
Cucut_Lanyam_711,2012,4795000,NA
Cucut_Lanyam_711,2013,4053000,NA
Cucut_Lanyam_711,2014,4547000,NA
Cucut_Lanyam_711,2015,1855000,NA
Cucut_Lanyam_711,2016,1565000,NA
